attack_id,start_idx_aligned,end_idx_aligned,start_idx_original,end_idx_original,duration_windows,duration_minutes,finite_ttf_count,mean_ttf_sec,min_ttf_sec,max_ttf_sec
1,4925,6425,5045,6545,1501,25.016666666666666,0,,,
2,58875,59465,58995,59585,591,9.85,30,0.0,0.0,0.0
3,60725,62465,60845,62585,1741,29.016666666666666,157,5.351416159991798,0.07621459205897141,242.60121102409875
4,62865,63715,62985,63835,851,14.183333333333334,0,,,
5,70595,71265,70715,71385,671,11.183333333333334,0,,,
6,74722,75420,74842,75540,699,11.65,177,11.573197198229655,0.0795318840985395,150.00930476882425
7,85025,85605,85145,85725,581,9.683333333333334,545,27.993054298302642,0.0,1030.0018352123507
8,108275,108477,108395,108597,203,3.3833333333333333,0,,,
9,147125,147212,147245,147332,88,1.4666666666666666,88,0.0,0.0,0.0
10,148499,149305,148619,149425,807,13.45,0,,,
11,149571,150245,149691,150365,675,11.25,324,10.836286752152684,0.0,1033.7906904413796
12,150965,151325,151085,151445,361,6.016666666666667,225,3.201621651755842,0.0,58.864350267469575
13,151985,152561,152105,152681,577,9.616666666666667,114,7.918645862215062,0.0,338.0631396628816
14,163415,164045,163535,164165,631,10.516666666666667,0,,,
